Code,MumCode,Sire,Code_anon,MumCode_anon,Sire_anon
ABA22,HIA09,NA,C4774,M0089,NA
AGO22,CPY16,NA,C0913,M0296,NA
ALA22,CLS19,NA,C5550,M0169,NA
ALO22,CRX14,NA,C3782,M0165,NA
AME22,OPA08,NA,C0374,M0937,NA
AML22,DAW12,NA,C2540,M0290,NA
APG22,VEC17,NA,C3089,M0087,NA
ARG22,SWT19,NA,C3709,M0930,NA
AUK22,ALL13,NA,C1206,M0640,NA
BAI22,GLR19,NA,C0928,M0674,NA
BAU22,MCD12,NA,C5066,M0385,NA
BGE22,SHO16,NA,C5951,M0719,NA
BMY22,GNB12,NA,C1691,M0692,NA
BOB22,VES15,NA,C2807,M0966,NA
BOE22,CES17,NA,C4159,M0943,NA
BOO22,YOG06,NA,C1523,M0539,NA
BRZ22,ZEP14,NA,C3539,M0936,NA
BSG22,VES10,NA,C4288,M0187,NA
CCY22,ONY16,NA,C0265,M0159,NA
CDY22,BOO14,NA,C0887,M0598,NA
CET22,RUF02,NA,C4608,M0486,NA
CLS22,GLR13,NA,C4084,M0484,NA
COM22,APA10,NA,C3576,M0510,NA
DAK22,SOX08,NA,C2072,M0362,NA
EKA22,MEE11,NA,C5434,M0057,NA
ELK22,LEI13,NA,C3489,M0400,NA
EMU22,LYR12,NA,C1648,M0989,NA
FBB22,BOO19,NA,C2606,M0969,NA
FOK22,CES19,NA,C3586,M0941,NA
GGZ22,CHD10,NA,C1299,M0376,NA
GIS22,ELK18,NA,C5381,M0968,NA
GLE22,SML13,NA,C0116,M1019,NA
GRN22,MIC14,NA,C0688,M0258,NA
HAB22,BRZ19,NA,C5922,M0609,NA
HAI22,MLA19,NA,C1690,M0621,NA
IRI22,AYE09,NA,C4098,M0921,NA
JAH22,RAS16,NA,C0097,M0627,NA
JAK22,RAS18,NA,C3912,M0124,NA
JMC22,RAS13,NA,C1766,M0322,NA
KAJ22,KOH16,NA,C2713,M0709,NA
KIC22,WIC14,NA,C0346,M0468,NA
KOH22,AYE10,NA,C1843,M0714,NA
MAB22,MDD13,NA,C5431,M0993,NA
MAM22,VIP11,NA,C5702,M0703,NA
MCC22,SHO17,NA,C4945,M0716,NA
MCL22,IRI16,NA,C3059,M0835,NA
MCU22,MNG09,NA,C0165,M0452,NA
MES22,COM18,NA,C2788,M0011,NA
MLA22,RAS12,NA,C0557,M0197,NA
MLB22,KKA15,NA,C4874,M0233,NA
MNU22,LYR17,NA,C4844,M1015,NA
MOJ22,GNB10,NA,C2416,M0381,NA
MRC22,MCD14,NA,C1033,M0495,NA
MSC22,KOH18,NA,C1102,M0405,NA
MTS22,IRI15,NA,C0664,M0753,NA
NAR22,NAV18,NA,C5837,M0612,NA
NAV22,SEQ05,NA,C3536,M0458,NA
NIA22,ARE14,NA,C1119,M0196,NA
OCT22,PKN18,NA,C4573,M0440,NA
PAW22,APO15,NA,C0712,M0315,NA
PLV22,GLR18,NA,C0376,M0857,NA
PPT22,WAG06,NA,C0168,M0042,NA
PPU22,EKA17,NA,C2591,M0182,NA
PRD22,JAD13,NA,C3486,M0025,NA
PSS22,CND06,NA,C0067,M0492,NA
PUE22,NAV12,NA,C5453,M0689,NA
