AgeHrs,CaptureWt,BirthWt,MotherStatus,mum_age,mum_age_sq,BirthYear,Sex,FROH_chr1,FROH_chr2,FROH_chr3,FROH_chr4,FROH_chr5,FROH_chr6,FROH_chr7,FROH_chr8,FROH_chr9,FROH_chr10,FROH_chr11,FROH_chr12,FROH_chr13,FROH_chr14,FROH_chr15,FROH_chr16,FROH_chr17,FROH_chr18,FROH_chr19,FROH_chr20,FROH_chr21,FROH_chr22,FROH_chr23,FROH_chr24,FROH_chr25,FROH_chr26,FROH_chr27,FROH_chr28,FROH_chr29,FROH_chr30,FROH_chr31,FROH_chr32,FROH_chr33,FROHsum,FROH_sum_div,Day_seq,Code_anon,MumCode_anon
4,6.30000019073486,6.24000019073486,Naïve,5,25,2014,2,0.15702168242037,0,0.0611195226830033,0.0522692934677458,0.0799412334251495,0.0506396357464625,0,0,0.130949898657736,0.156531644737033,0.066890005472089,0.130506480145107,0,0,0,0,0.122720964285361,0.159868600135447,0.0217506885400866,0.0313174514529763,0.053245937514387,0.0626380788241887,0,0.134872165144638,0.274533711346677,0,0,0.330899700572496,0.110853446860001,0.0896569251561807,0.0980495008526211,0,0,2.37627656743976,0.0720083808315078,45,C1602,M0089
48,6.09999990463257,5.37999990463257,True yeld,7,49,2016,1,0.110840642585394,0,0.145864396350841,0,0.0566668834048602,0,0,0.169631784718638,0.0276690650478395,0.258475112557924,0,0.183472690663908,0.114219125361415,0.176246047974974,0,0.063371472968736,0,0.111678276265313,0,0.0508935247307593,0.0491990945508581,0.0994875164017244,0.0494357604361492,0,0.173002815240215,0,0,0.0628393640016201,0,0.0747561490052556,0.155432952017766,0,0.176294561904589,2.30947723618878,0.0699841586723873,25,C3308,M0089
48,5.40000009536743,4.68000009536743,Milk,8,64,2017,1,0.0569918069633666,0,0.100420228506131,0.0632173270182885,0.083405581459175,0.181882662612119,0,0.110624619069298,0.215212253247799,0.175666321500628,0.0563472547562711,0,0.0484325720270294,0,0,0.063371472968736,0.0569030681689574,0.106908737880289,0.0271341355513451,0.0198830087529826,0.0324109467230947,0,0.0494357604361492,0.0685266560226918,0.151615774743124,0.0652668672050538,0,0.15709356246016,0.0913668714290536,0.0354372331417812,0.16052897561238,0.0541337063567246,0.148142539599936,2.38035994421257,0.0721321195215929,30,C4097,M0089
8,5.5,5.38,True yeld,10,100,2019,2,0.140008039382225,0.10920337090437,0,0.0662144615070395,0.0342304657010176,0,0,0,0.0860049612345734,0,0.0378803125816203,0.0495660537734756,0.0785951394847494,0.0363507218394567,0.168462353702797,0,0.11904069287616,0.0472623987949314,0.188431623300102,0,0.0363831074911717,0,0.0426583580261179,0,0.16115693541905,0.108497984653008,0,0.0864501189054352,0.0687640361397938,0,0.352192513458159,0.0870259390704212,0.122936080872016,2.22731566911769,0.0674944142156876,25,C3721,M0089
6,6.19999980926514,6.10999980926514,Milk,11,121,2020,2,0.046885940001677,0,0,0,0,0,0,0.0696320271137822,0.103421257774172,0,0.0298418896793663,0,0,0,0,0.238936692264555,0.11904069287616,0.183462659948783,0.233708963290933,0.116266317902973,0.0363831074911717,0,0.0426583580261179,0,0.367999580630972,0,0.155434179340782,0.20094895022009,0,0.169328946499246,0.295659653262239,0,0.104020366762074,2.51362958308509,0.076170593426821,27,C4326,M0089
12,5.59999990463257,5.41999990463257,Winter yeld,12,144,2021,1,0,0.173184937141568,0.062302449770981,0.0830106954065409,0.257699710900142,0.0490398881848957,0.0761221732576878,0,0.0786918132976525,0,0,0.0552098529962098,0.0497364025779389,0,0.419808435145209,0,0.118106074684743,0.219932729725641,0.185077482173822,0.0260891606188914,0.0730260093504169,0.0554884313467471,0.117331627435963,0.154082224531651,0,0,0.0723755049286392,0,0.0789677035943685,0.694170913114545,0.380645576196489,0,0.184257701640475,3.66435749802122,0.111041136303673,28,C1097,M0089
72,7.90000009536743,6.82000009536743,Naïve,5,25,2004,1,0,0,0.0994527550177998,0,0,0,0.29963974567904,0,0,0,0.0841780280195708,0.152189863284577,0.0552314337329688,0,0.1094816093297,0.0923963353352583,0.26465364767742,0.0241081460799789,0,0.117336533462172,0.0468367100631239,0,0.0429846918284351,0,0.156374120234822,0,0.0895684295275848,0.0544390054760311,0,0.0762556514410799,0,0.118950502609429,0.250252876327982,2.13433008512697,0.0646766692462719,68,C3669,M0549
24,7.19999980926514,6.83999980926514,True yeld,7,49,2006,1,0,0,0.220186614862324,0.0865396616840501,0.0440326990997934,0.141796681557152,0,0,0.0664894564993362,0.0850535119732854,0.0520976823712596,0.111133956602449,0.0551995528979603,0,0,0.106768791042809,0.418454228529109,0.0613491226260254,0,0.0749901946043144,0,0,0,0.0455990146911845,0,0,0,0,0,0.308060045435432,0.0586475830162249,0,0.0807084319171553,2.01710722940987,0.0611244614972687,43,C0961,M0549
168,8.30000019073486,5.78000019073486,True yeld,9,81,2008,2,0,0.110369310257268,0.106949143909846,0,0.0230634792428605,0,0,0,0,0,0.0473777623084792,0,0,0.0318115718637291,0.0696059048219603,0,0,0,0.036215486742246,0.0347481212973975,0.21320083636871,0,0,0.307476162575955,0.0692921945761429,0,0,0,0,0,0,0.16636077860286,0,1.21647075256745,0.0368627500778017,31,C0571,M0549
48,7.30000019073486,6.58000019073486,True yeld,12,144,2011,1,0,0,0,0.153646987867328,0.0487533074156802,0,0,0,0,0,0,0.103393862824122,0,0.0562172491714486,0,0,0.248903088086823,0.0326239243405209,0,0,0.0774567336535451,0,0.137970849255655,0.0883659157593912,0.122889623066322,0,0,0.162153279617472,0.1724228458513,0,0.12968984633245,0,0.0565587236849271,1.59104623692699,0.0482135223311208,118,C2890,M0549
