BirthYear,LBS,FROH_chr1,FROH_chr2,FROH_chr3,FROH_chr4,FROH_chr5,FROH_chr6,FROH_chr7,FROH_chr8,FROH_chr9,FROH_chr10,FROH_chr11,FROH_chr12,FROH_chr13,FROH_chr14,FROH_chr15,FROH_chr16,FROH_chr17,FROH_chr18,FROH_chr19,FROH_chr20,FROH_chr21,FROH_chr22,FROH_chr23,FROH_chr24,FROH_chr25,FROH_chr26,FROH_chr27,FROH_chr28,FROH_chr29,FROH_chr30,FROH_chr31,FROH_chr32,FROH_chr33,FROHsum,FROH_sum_div,Code_anon,MumCode_anon
2008,0,0,0.110369310257268,0.106949143909846,0,0.0230634792428605,0,0,0,0,0,0.0473777623084792,0,0,0.0318115718637291,0.0696059048219603,0,0,0,0.036215486742246,0.0347481212973975,0.21320083636871,0,0,0.307476162575955,0.0692921945761429,0,0,0,0,0,0,0.16636077860286,0,1.21647075256745,0.0368627500778017,C0571,M0549
1985,0,0,0.409009144725748,0.062302449770981,0,0.222017000358145,0,0,0.0949164441494206,0.0813732513566567,0,0,0.0475723590291337,0.222546309406787,0.101003744392904,0.192436360272645,0,0,0.205352648143389,0.0519982589944247,0.132198027321202,0,0.10821558032748,0.265848528855863,0,0.11969958013935,0.059415572071692,0.306746855074363,0.133281339281912,0,0.331242378151883,0.0522459012869305,0,0,3.19942173311091,0.0969521737306337,C3837,M0811
1997,35,0,0,0.0861184776390582,0,0,0,0,0,0.0644638962574563,0,0.025211294034534,0.152745521473261,0.0395793292646405,0,0,0.324747228579805,0.0414928489636224,0.133866120585177,0,0.0316216551754839,0,0.0918404662869585,0.0905415771716537,0.291694607042629,0.0583837114908214,0.209605907009944,0.0685168257051795,0,0.0756004258943889,0,0.112773314452499,0,0.051608252600495,1.95041145962761,0.059103377564473,C3254,M1008
1992,0,0.270238362791947,0.285407888351835,0.0519800114198464,0.0452947746679379,0.0330921597761113,0.51614860499702,0,0.047469515892907,0.0246091434012058,0.0850535119732854,0.0413474344412857,0.109555268849137,0.0733573995535824,0.043235617143434,0.0368479553937741,0.0704882574918916,0,0.041243066890013,0.0997497619318613,0.118179296906317,0,0.0357797924371945,0.0417358142057401,0,0,0,0.0597686302202594,0.316743256565381,0.0912469851196686,0,0,0,0.166605247180654,2.70517775760229,0.0819750835637057,C4764,M0243
1997,0,0.118199740747937,0.0556126514590038,0.129677180330903,0.041909360350041,0,0.191835233002622,0.065730457683034,0.050635788996643,0.0629620740379297,0.0768256361115523,0,0.0366572783591451,0.173465576865836,0,0,0.0568452237247815,0,0.0711901185329984,0.0845942154685905,0,0.0483736849796938,0,0.161188163760728,0,0.103370510042956,0.200152168752719,0,0,0,0.0648744379302119,0,0.117254544930339,0,1.91135404606767,0.0579198195778081,C3661,M0243
1993,0,0,0,0.117494196761322,0,0.0744221271717312,0,0,0,0,0,0.0302659095150425,0.181426401647106,0,0,0.082972012789403,0,0,0.0745864384860233,0,0.0478193308739943,0,0.0693755537494848,0.0347448600974472,0,0,0,0,0.0500021200236019,0,0.112223605008779,0.317434343429217,0,0.0394931959513566,1.23226009550451,0.0373412150152881,C1168,M0308
2004,0,0.0996509826857607,0.0565374752619026,0.0630963967332329,0.149766895358652,0.253752310276521,0,0,0.105546530575858,0,0,0.124887486240733,0.123339755891611,0.0413514658665228,0.0687877058181482,0,0,0.0441184263435169,0.0592030812099426,0,0,0,0,0.272921042220355,0.0521209682559307,0.105334074044064,0.271163693366784,0.128608421769956,0,0,0,0,0.0525869212770323,0.0383463711068215,2.11112000430334,0.0639733334637377,C3334,M0895
1990,0,0.0700596977770349,0.0969462342814576,0.0888403180907893,0.0712066743805721,0.0270956853016048,0.0751342453430384,0,0.0813906514656782,0.125339311689195,0,0.196092595140359,0.0388786417348226,0.0516127857693928,0.0421863835588218,0,0.120807860134913,0.266214741151042,0.164274852800308,0,0.144548011614334,0.112456699091766,0.206030352929547,0,0.139674673010515,0.0742590407888884,0.104328493629946,0.0553737464729281,0,0.206923472007896,0,0.142997832984151,0,0.0575437172605901,2.76021671840959,0.0836429308608967,C3853,M0923
1992,0,0.0728141251434447,0.166804571568139,0,0.137712531236517,0.115605295379601,0,0.292910784227654,0,0,0.0504065727895856,0.03422414136298,0.0405589997540903,0,0,0,0,0,0.0332066365439275,0,0.102561100456132,0,0.109164608065604,0.0411343902987116,0,0.0604918931852937,0,0.16972107785526,0,0,0.211229954651113,0,0,0.295700913324902,1.93424759584296,0.0586135635103926,C0991,M0923
1999,0,0.0398756739790788,0,0.0654864368512839,0,0.0864444552524953,0.190495002488605,0,0.192371717083211,0.194585850105498,0.0504065727895856,0.0397778657442959,0.0289320972859706,0,0.328411630003906,0.0499171702248254,0,0,0,0.149644318883679,0.0594689576360431,0.0344535299263261,0.116512554978618,0.0538001484180069,0,0.379462468679455,0,0.0559879798920436,0,0.134928951521138,0.0545187943385088,0.0456787488273945,0,0,2.35116092490997,0.0712473007548475,C0762,M0923
