LBS,LRS,FROH_chr1,FROH_chr2,FROH_chr3,FROH_chr4,FROH_chr5,FROH_chr6,FROH_chr7,FROH_chr8,FROH_chr9,FROH_chr10,FROH_chr11,FROH_chr12,FROH_chr13,FROH_chr14,FROH_chr15,FROH_chr16,FROH_chr17,FROH_chr18,FROH_chr19,FROH_chr20,FROH_chr21,FROH_chr22,FROH_chr23,FROH_chr24,FROH_chr25,FROH_chr26,FROH_chr27,FROH_chr28,FROH_chr29,FROH_chr30,FROH_chr31,FROH_chr32,FROH_chr33,FROHsum,FROH_sum_div,BirthYear,Code_anon,MumCode_anon
0,0,0,0,0.0994527550177998,0,0,0,0.29963974567904,0,0,0,0.0841780280195708,0.152189863284577,0.0552314337329688,0,0.1094816093297,0.0923963353352583,0.26465364767742,0.0241081460799789,0,0.117336533462172,0.0468367100631239,0,0.0429846918284351,0,0.156374120234822,0,0.0895684295275848,0.0544390054760311,0,0.0762556514410799,0,0.118950502609429,0.250252876327982,2.13433008512697,0.0646766692462719,2004,C3669,M0549
0,0,0,0,0.220186614862324,0.0865396616840501,0.0440326990997934,0.141796681557152,0,0,0.0664894564993362,0.0850535119732854,0.0520976823712596,0.111133956602449,0.0551995528979603,0,0,0.106768791042809,0.418454228529109,0.0613491226260254,0,0.0749901946043144,0,0,0,0.0455990146911845,0,0,0,0,0,0.308060045435432,0.0586475830162249,0,0.0807084319171553,2.01710722940987,0.0611244614972687,2006,C0961,M0549
0,0,0.165459903908228,0,0.0472128924140014,0.0448823464548281,0.0196436414468353,0,0,0,0.222947785551121,0.0561467140122624,0,0,0.176508083689838,0.116293024336877,0,0,0,0.0770366810044862,0.312465286388947,0.0509266534406791,0.189158764008946,0.10906755502888,0.137283765144956,0.183029280099218,0,0.112984768905032,0,0.214156036937725,0.0527421185887016,0,0,0.0894744985497598,0,2.37741979991132,0.072043024239737,1991,C3110,M0243
3,0,0,0,0,0.18413643196862,0.435988296553119,0,0.137824750191131,0.337154875324955,0.0283715139630587,0,0.0827570299232055,0,0,0,0.430828227960773,0,0,0.135967659699317,0,0.0789854503232937,0.224326351083157,0.0592953285584839,0.250283957345114,0,0.0386155145454774,0.289306546198304,0,0.202048053112177,0,0,0.161103365137041,0,0,3.07699335188723,0.0932422227844615,1993,C0799,M0243
3,0,0,0,0.0606798970871157,0.20621858709842,0.110755230394505,0,0,0.146300336381617,0.118711870767846,0.0675167508577477,0.0916795747584418,0.120122049896852,0,0.0923012891248611,0.312317302608847,0,0.101855585882487,0,0.0399684715232987,0.0398313099430356,0.139652782419126,0.0559601379928311,0,0.0616790306131674,0,0.295086782848054,0,0.178646395149622,0.0912469851196686,0.197332253678586,0.160837404788171,0,0,2.6887000289343,0.0814757584525546,1994,C3990,M0243
1,0,0,0,0.202702613433366,0,0.154966586376569,0,0,0.217722083553247,0.0820789265279866,0,0,0.0274170184171009,0.115113797746902,0.0306678660006279,0.176536765624353,0,0.0970653084075586,0.027753915866637,0.161061636469681,0.113615148367626,0.0314228032823412,0.17655571143085,0,0,0.0877929394394329,0,0.232457580662177,0.10563066926667,0.15257530974394,0.126356114415096,0.336546928742529,0.229454642819114,0.0466148307383853,2.93210919733219,0.0888517938585512,2003,C0332,M0308
0,0,0.0506830496000215,0,0,0,0.0343540599014004,0,0.0666317672742292,0.118957715244419,0.0620659403914551,0,0.161772040734762,0.237378501558393,0.182750353955551,0.136464404419799,0,0,0,0,0.149261968143141,0,0.0417933617447534,0.0316018525668158,0.18730932408837,0,0.0720314910041012,0.113305042070402,0.100961469753139,0,0,0.152208488171746,0.0930229898278912,0.156932025040627,0,2.14948584549102,0.065135934711849,2006,C5234,M0308
1,0,0,0,0,0.0391229859738621,0.0624397826125319,0.18305919775768,0,0.107699627887543,0,0.0640783900010899,0.127442722387466,0.114790587888123,0.0566029054123059,0,0.0494328824832933,0,0,0.119653817094108,0.0531025807589355,0.198015478877063,0.0678480797385419,0.0315637745090805,0,0,0,0,0,0.119217728847692,0.0871203333579672,0,0,0,0,1.48119087558728,0.0448845719874934,1995,C2822,M0308
5,3,0,0.0497937347647903,0.359482657148875,0,0.0520609568525708,0.114530958377844,0,0.117040172147236,0.0277864953020379,0,0,0,0,0,0.0568296527376455,0,0,0.0451100044506278,0,0.024443879188443,0.360081762748034,0.0391694734140084,0,0,0.0843245798729969,0,0,0,0,0,0.363549797953151,0,0,1.69420412495826,0.0513395189381291,1990,C2631,M0079
5,0,0.0878165237543798,0.0872986418606496,0.180820458406848,0.174220858210291,0.0250979637092995,0.217743906725851,0,0.19465876015602,0.0889685235426242,0,0.0542245021855963,0.0826287005185673,0,0.332884378834302,0,0.154599091602087,0.0388436344867519,0.10119520524868,0.0755365484151929,0.170453513306782,0,0.0689752740382533,0.0464884615064505,0,0,0.09532184583181,0.0527038531238885,0.100901967886855,0,0,0,0,0.0324259083326778,2.46380852168386,0.0746608642934502,1991,C3071,M0079
